,team,opponent,goals,total_score,total_count,rank_difference,home
344,Burundi,Guinea,2,10.0,0,37.0,0
3934,Zambia,Tunisia,1,54.6,11,-4.600000000000001,0
5839,Nicaragua,Honduras,0,62.33333333333334,2,133.33333333333334,0
24577,Libya,Tunisia,1,1211.375,3,75.625,1
6528,Ecuador,Chile,1,494.91666666666674,3,43.08333333333334,1
18124,Iceland,Russia,0,509.25,3,54.58333333333334,1
24882,Ghana,Mali,0,1435.125,4,-8.625,0
20160,India,Oman,1,132.0,2,62.33333333333333,1
24382,Rwanda,DR Congo,3,1093.25,1,132.875,0
14946,Qatar,Paraguay,2,383.58333333333326,9,69.25,0
9928,Nigeria,Algeria,1,681.0,5,-39.0,1
23441,Madagascar,Equatorial Guinea,1,772.6666666666665,4,-34.83333333333333,1
8786,Malta,Cyprus,1,348.58333333333326,7,40.58333333333333,1
11073,Japan,Latvia,2,708.5,10,-49.16666666666667,0
20821,Uganda,Burundi,1,480.08333333333326,9,-51.75,1
21150,Iceland,Norway,2,806.0,8,-30.833333333333336,0
21966,Djibouti,South Sudan,0,44.33333333333334,1,38.666666666666686,0
7172,Slovakia,Germany,0,611.25,9,23.25,0
9829,South Korea,Vietnam,2,0.0,9,-98.58333333333331,1
14871,Nigeria,Mozambique,1,800.9166666666665,7,-56.91666666666666,1
9854,Saint Lucia,Panama,0,0.0,1,-113.83333333333331,0
18969,Sudan,Zambia,2,247.83333333333331,10,72.16666666666666,0
7495,Denmark,Bulgaria,2,653.75,6,-29.66666666666667,0
1163,Argentina,Colombia,0,55.2,4,-11.2,1
3466,Indonesia,Bosnia and Herzegovina,0,26.9,10,-6.0,0
23675,Uzbekistan,Japan,1,1282.875,5,56.75,0
9801,Spain,Andorra,4,785.5833333333335,6,-143.0,1
14402,North Korea,South Korea,0,0.0,14,0.0,0
4087,Romania,Republic of Ireland,1,59.9,4,-37.4,0
5585,England,Scotland,2,689.1666666666665,8,-13.833333333333336,0
1596,Morocco,Saudi Arabia,1,43.2,5,-1.599999999999998,0
2008,Tahiti,Fiji,3,3.8,2,24.599999999999994,1
10026,Greece,Czech Republic,0,672.6666666666666,8,17.916666666666668,0
15061,Malawi,Egypt,1,324.5,8,73.33333333333333,0
22160,Cameroon,Australia,1,732.1666666666665,7,-7.333333333333336,1
15871,Sudan,Rwanda,0,253.0,5,-2.5227272727272663,1
25163,Azerbaijan,Qatar,1,1172.0,4,51.33333333333333,0
17893,Singapore,Philippines,0,140.75,4,6.25,0
16026,Hong Kong,Malaysia,0,129.16666666666666,4,6.75,0
2975,Panama,Honduras,2,18.4,1,67.7,1
11559,Zanzibar,Northern Cyprus,0,0.0,5,0.0,0
12246,Liberia,Cameroon,1,206.66666666666663,1,107.83333333333331,0
2210,Brazil,Colombia,3,67.2,7,-15.1,1
1931,Bulgaria,Argentina,1,54.6,8,5.3,0
13321,Northern Mariana Islands,Guam,2,0.0,1,-200.58333333333331,1
21701,Guinea,DR Congo,1,549.6666666666666,5,61.5,1
12450,Haiti,Guadeloupe,1,391.0,4,83.66666666666667,0
18069,Ethiopia,Zambia,1,345.08333333333326,6,47.16666666666666,0
12425,Liberia,Cameroon,1,206.66666666666663,1,107.83333333333331,1
20395,Czech Republic,Kazakhstan,2,960.5833333333335,5,-118.75,1
9478,Jordan,Indonesia,2,594.9166666666666,5,-51.50000000000001,1
12209,Honduras,Costa Rica,1,543.0,4,-1.0833333333333286,0
20610,Belgium,Israel,3,1401.583333333333,10,-42.583333333333336,1
3377,New Zealand,Australia,0,22.0,6,85.8,0
1409,Niger,Tunisia,2,22.7,5,45.7,0
13000,Bolivia,Venezuela,3,344.16666666666674,0,30.16666666666667,0
3423,Peru,Paraguay,1,48.8,5,12.200000000000005,0
18098,Canada,United States,0,404.66666666666674,4,89.0,0
