,team,opponent,goals,total_score,total_count,rank_difference,home
6421,Spain,Bosnia and Herzegovina,2,742.25,3,-73.41666666666666,0
18353,Kazakhstan,Bulgaria,1,202.08333333333331,3,82.91666666666666,1
10267,Kyrgyzstan,Tajikistan,1,0.0,2,-135.25,0
11192,Turkey,Switzerland,4,722.8333333333335,4,-29.75,1
25261,Italy,Lithuania,2,1636.333333333333,3,-124.33333333333334,0
5918,Bolivia,Uruguay,0,492.58333333333326,8,28.333333333333336,0
19979,China PR,Haiti,2,406.16666666666674,10,4.5,1
20436,Guinea-Bissau,Congo,2,200.58333333333331,2,90.5,1
2360,Belgium,Armenia,2,48.0,3,-105.1,0
262,Vanuatu,New Caledonia,0,0.0,0,159.0,1
17170,Peru,Chile,1,672.8333333333334,8,23.5,0
24057,Guinea,Madagascar,2,1332.875,2,-26.0,1
4128,Iran,Kuwait,0,0.0,8,-54.1,1
25039,Sweden,France,2,1569.625,7,16.125,0
1858,Honduras,United States,1,33.4,6,50.4,0
3227,Portugal,Ukraine,1,53.8,3,-53.2,1
1361,Georgia,Malta,1,9.444444444444443,1,45.422222222222224,0
16439,Turkmenistan,Indonesia,3,161.08333333333334,2,7.9166666666666865,0
12969,Lithuania,Ukraine,2,425.0,1,60.5,1
879,Lebanon,Hong Kong,2,11.0,0,0.8000000000000114,1
6802,Bangladesh,Mongolia,2,250.25,3,-42.75,1
24289,Haiti,Curaçao,0,1259.625,4,12.5,0
16946,Samoa,Cook Islands,3,29.75,0,-5.3333333333333135,1
6712,Uzbekistan,Chile,0,515.9166666666666,6,35.66666666666667,0
3780,Bolivia,Venezuela,1,52.3,8,-85.0,1
3514,Japan,Oman,1,55.6,3,-69.69999999999999,0
8374,Zanzibar,Rwanda,0,0.0,1,-131.63636363636363,0
698,Greece,Austria,1,40.8,3,-1.4000000000000057,0
1034,Paraguay,Ecuador,0,30.0,0,17.6,0
10364,British Virgin Islands,Bermuda,2,175.66666666666663,0,11.25,0
10254,Trinidad and Tobago,Mexico,0,532.0,8,61.91666666666667,0
15017,Greece,Ukraine,1,942.75,6,-5.166666666666666,0
780,Germany,Ghana,6,58.0,4,-38.8,1
22848,New Caledonia,Tahiti,3,594.0,1,-1.8333333333333428,0
20573,Croatia,Bulgaria,3,977.5,6,-51.66666666666666,1
18551,DR Congo,Congo,0,0.0,6,-89.08333333333331,0
5887,Iran,Cyprus,0,0.0,6,-63.08333333333334,0
18701,India,Maldives,1,154.0,4,-4.75,0
14465,Azerbaijan,Turkey,0,202.66666666666663,8,110.08333333333331,0
1733,Georgia,Bulgaria,0,9.444444444444443,1,99.62222222222223,0
24792,Moldova,Sweden,0,956.125,5,157.375,1
21617,Ghana,South Africa,1,686.9166666666666,8,-25.583333333333336,0
2561,Angola,South Africa,0,30.4,2,56.2,0
20867,Maldives,Nepal,1,150.33333333333334,4,-22.916666666666657,1
24681,Guinea,Namibia,2,1332.875,2,-43.5,1
10016,Uganda,Kenya,1,451.16666666666674,10,23.58333333333333,1
3864,Isle of Wight,Hitra,4,0.0,0,0.0,0
16382,Bahamas,Turks and Caicos Islands,6,76.0,0,-19.083333333333314,1
9119,Burkina Faso,Benin,1,501.33333333333326,4,-56.08333333333334,0
23691,Qatar,United Arab Emirates,4,1391.125,8,-10.625,1
1811,England,Nigeria,1,52.1,4,4.5,1
7134,Trinidad and Tobago,Jamaica,2,613.3333333333334,12,-17.416666666666668,1
7907,Cameroon,Austria,0,672.4545454545455,8,-38.0,0
7122,Indonesia,China PR,1,456.33333333333326,8,25.33333333333333,0
9104,North Macedonia,Slovakia,1,464.16666666666674,7,35.74999999999999,0
9744,Barbados,Northern Ireland,1,408.83333333333326,3,0.8333333333333428,1
16012,Romania,Cyprus,1,567.3333333333334,5,-43.41666666666667,0
9531,Kazakhstan,Armenia,3,317.0833333333333,0,24.50000000000001,1
15606,New Caledonia,Martinique,0,110.0909090909091,0,150.45454545454547,1
23654,Iceland,Sweden,2,1462.0,6,21.875,1
2001,Finland,San Marino,2,39.6,10,-98.20000000000002,0
24200,Belize,Saint Vincent and the Grenadines,1,987.375,4,166.75,1
11527,Poland,Colombia,1,755.4545454545455,10,-0.8181818181818166,1
22889,Bangladesh,Laos,2,466.41666666666674,0,13.583333333333313,0
8853,Egypt,Madagascar,6,603.75,11,-69.41666666666666,1
24731,Northern Ireland,Germany,1,1482.625,5,18.5,0
3333,Peru,Uruguay,0,34.3,4,22.7,0
1385,Zambia,Zimbabwe,2,48.2,6,-24.9,0
2344,Poland,Romania,0,43.7,6,20.1,1
15666,Burundi,Ivory Coast,0,145.54545454545453,4,139.36363636363637,1
4924,Estonia,Israel,0,419.41666666666674,6,54.0,0
19588,Republic of Ireland,Gibraltar,7,500.08333333333326,7,65.58333333333333,1
8465,Pakistan,Sri Lanka,2,204.58333333333331,0,23.833333333333343,1
12750,Malta,Turkey,2,228.5,4,99.08333333333331,1
476,Japan,North Korea,1,22.0,0,66.0,1
23878,Portugal,Switzerland,3,1629.5,9,-4.375,1
3210,Bosnia and Herzegovina,Italy,2,4.142857142857143,0,160.25714285714287,1
5742,Malaysia,Singapore,1,357.75,1,9.25,0
12328,Norway,Turkey,2,713.25,6,15.583333333333336,0
21478,Haiti,Jamaica,2,453.5,6,16.66666666666667,0
13458,Chile,Guatemala,2,674.6666666666666,6,-58.50000000000001,1
6125,France,Croatia,2,781.1666666666665,5,-10.0,0
3573,Guyana,Grenada,1,6.4,2,47.5,0
21861,Argentina,Chile,1,1501.916666666667,9,-3.75,1
14351,France,Lithuania,1,1060.0833333333333,6,-47.75,0
5304,Rhodes,Guernsey,0,0.0,0,0.0,1
4327,Netherlands,United States,2,60.4,4,12.5,0
25171,Republic of Ireland,Luxembourg,0,1436.666666666667,3,-51.33333333333334,1
19317,Netherlands,Australia,3,1233.5,6,-65.58333333333334,0
16970,Nepal,Maldives,1,135.66666666666666,0,-8.666666666666657,0
4034,Iran,China PR,4,0.0,11,-59.4,0
21296,Mauritius,Malawi,0,182.41666666666663,4,45.41666666666666,1
4897,Vietnam,Hong Kong,1,30.1,5,-38.60000000000001,0
17249,United States,Brazil,1,0.0,14,-9.666666666666666,1
12319,Greece,Malta,1,989.75,7,-107.0,0
7517,Sweden,Turkey,2,653.5833333333334,9,-10.333333333333336,0
12628,Uzbekistan,China PR,3,532.5,3,-22.75000000000001,1
542,Oman,Kuwait,1,6.0,0,45.0,0
6301,Cuba,Trinidad and Tobago,1,460.91666666666674,4,40.333333333333336,0
13958,Nigeria,Sierra Leone,4,756.8333333333335,3,-115.75,1
1590,South Korea,Bolivia,0,0.0,16,-46.0,1
22865,Malta,Finland,0,497.08333333333326,3,121.66666666666669,0
4000,Pakistan,Sri Lanka,0,5.8,2,34.099999999999994,0
8406,Bahrain,China PR,2,408.3636363636364,12,50.90909090909091,1
5004,Algeria,Liberia,1,443.83333333333326,5,-22.25,0
2791,Austria,Czech Republic,1,42.6,4,33.7,1
6954,Lithuania,Italy,0,453.25,6,87.66666666666669,0
22857,Trinidad and Tobago,Martinique,0,851.5833333333335,5,88.58333333333331,0
14606,Gotland,Falkland Islands,2,0.0,0,0.0,1
5266,Egypt,Mexico,0,565.9166666666666,6,24.333333333333336,1
20719,Republic of Ireland,Bosnia and Herzegovina,1,593.9166666666666,5,26.83333333333333,0
20929,Liberia,Djibouti,1,334.0833333333333,4,-101.16666666666669,0
7289,Bahrain,Bosnia and Herzegovina,0,359.75,8,44.33333333333333,1
3136,DR Congo,Liberia,0,0.0,4,-89.3,1
21916,Montenegro,Poland,1,620.6666666666666,2,45.5,1
17503,Equatorial Guinea,Liberia,1,317.3333333333333,5,-8.0,1
20562,Slovakia,Belarus,0,939.6666666666665,4,-69.66666666666666,1
13620,Australia,China PR,0,681.0833333333334,5,-49.33333333333334,1
12743,Bosnia and Herzegovina,Hungary,0,657.25,4,-14.166666666666664,0
18453,Equatorial Guinea,Tunisia,1,403.0,8,43.08333333333334,1
12317,Scotland,Italy,0,933.9166666666665,4,16.166666666666668,0
14669,Latvia,Bulgaria,0,566.0833333333334,6,33.91666666666667,0
22060,Argentina,Brazil,1,1501.916666666667,9,0.9166666666666669,1
1132,Ecuador,Uruguay,0,37.0,3,24.6,0
6017,Tunisia,Mauritania,3,607.0833333333334,6,-132.66666666666666,1
25109,Gibraltar,Norway,0,882.6666666666665,2,152.33333333333334,1
8940,Niger,Liberia,1,164.75,3,74.16666666666666,1
4879,Mexico,El Salvador,2,61.7,13,-66.9,0
1640,Brazil,Italy,0,62.4,13,-5.0,1
24782,Iraq,Bahrain,2,1323.0,8,-30.375,1
13473,Bhutan,Sri Lanka,0,18.33333333333333,0,28.916666666666657,0
16404,Peru,Colombia,2,640.5833333333334,4,2.75,0
14153,Poland,Serbia,1,811.25,6,-4.583333333333332,0
2710,Martinique,Saint Lucia,1,0.0,1,0.0,1
3104,Mali,Guinea,0,33.8,7,-11.100000000000007,1
9429,Algeria,Cameroon,1,548.5833333333334,4,43.41666666666667,0
6275,Trinidad and Tobago,Barbados,0,570.5833333333334,2,-67.16666666666666,0
4865,Qatar,United Arab Emirates,0,39.0,4,16.299999999999994,1
4850,Oman,Burkina Faso,4,33.4,3,18.599999999999994,1
9036,Ukraine,Romania,0,568.75,4,24.916666666666664,1
23062,Tuvalu,Tamil Eelam,3,0.0,3,0.0,0
22354,Congo,Ghana,1,407.58333333333326,4,36.66666666666666,0
8163,Eswatini,South Africa,1,0.0,6,-33.27272727272727,0
17522,Egypt,Oman,1,605.3333333333334,3,-46.16666666666666,0
5045,Costa Rica,Honduras,0,469.08333333333326,1,-6.75,1
8543,Thailand,Qatar,1,531.8333333333334,7,-11.166666666666671,1
7518,Armenia,Ukraine,0,446.16666666666674,5,54.41666666666666,0
2854,Lebanon,Kuwait,3,23.5,1,21.3,1
7193,Germany,Finland,2,710.1666666666665,6,-45.16666666666666,0
7570,Oman,China PR,0,441.0,4,30.58333333333333,0
16856,Australia,Oman,0,852.4166666666665,7,-81.91666666666666,0
17930,Togo,Burkina Faso,1,380.91666666666674,5,8.833333333333329,0
9474,Mali,Morocco,0,581.5,6,13.25,0
18399,Gabon,Congo,0,464.5,10,-11.75,1
15395,Honduras,Switzerland,0,652.2727272727273,9,24.72727272727273,0
8176,Jamaica,India,0,547.5454545454545,11,-68.27272727272727,0
8536,Nigeria,Gambia,1,628.4166666666666,13,-109.83333333333331,0
3715,Vietnam,Tajikistan,0,25.3,4,-20.69999999999999,1
22278,El Salvador,United States,0,320.6666666666667,2,107.25,0
11729,Saudi Arabia,United Arab Emirates,1,544.5454545454545,10,-31.0,1
21419,South Africa,Mauritania,1,527.0,12,-42.16666666666666,1
8777,Denmark,Norway,1,709.8333333333335,8,-15.416666666666664,1
13222,South Korea,Japan,1,0.0,5,-35.416666666666664,0
23028,Netherlands,Italy,1,1291.3333333333333,6,0.16666666666666785,0
10289,Kuwait,Kyrgyzstan,3,555.25,8,57.0,1
9634,Curaçao,Dominican Republic,3,0.0,0,-170.66666666666666,1
12785,Japan,Switzerland,4,695.3333333333335,7,7.666666666666664,0
11610,England,Sweden,2,1108.090909090909,5,-9.545454545454543,0
8870,Mali,Zimbabwe,0,511.83333333333326,10,14.000000000000007,1
7845,New Caledonia,American Samoa,10,0.0,0,-200.8181818181818,0
539,Mexico,Costa Rica,0,43.0,0,-12.0,0
18439,Ghana,Ivory Coast,1,850.3333333333335,7,22.75,1
16392,Peru,Chile,0,640.5833333333334,4,30.25,0
985,Yemen,Jordan,1,16.4,0,3.0,1
11833,Dominican Republic,Haiti,1,110.0909090909091,0,65.0909090909091,0
17554,China PR,Sweden,0,460.5,8,56.66666666666667,0
19721,United Arab Emirates,Oman,0,472.66666666666674,9,-10.833333333333329,1
22195,Western Isles,Frøya,4,0.0,0,0.0,0
4631,Guam,Palau,15,0.0,0,193.3,0
14355,Switzerland,Moldova,2,898.0,3,-75.83333333333333,0
14855,El Salvador,Mexico,1,367.33333333333326,12,69.91666666666667,0
13539,Chad,Congo,2,210.83333333333331,4,45.91666666666667,1
22785,Cambodia,Laos,1,540.8333333333334,2,-10.833333333333345,0
15433,Cyprus,Andorra,1,473.8181818181818,7,-130.63636363636363,1
23038,Lithuania,Latvia,1,677.1666666666666,3,2.0,1
11338,South Korea,Mexico,1,0.0,6,-12.727272727272727,0
1035,Romania,Egypt,2,50.8,3,-10.8,0
9129,Zimbabwe,Malawi,2,544.3333333333334,5,-46.83333333333334,0
10311,Cyprus,Israel,1,453.83333333333326,5,44.91666666666667,1
18248,Indonesia,Saudi Arabia,1,117.58333333333331,5,60.25000000000002,1
25186,Curaçao,Cuba,2,1319.6666666666667,0,-104.66666666666666,0
19793,DR Congo,Sierra Leone,3,0.0,5,-71.08333333333333,1
22493,Cyprus,Greece,1,357.08333333333326,2,53.58333333333333,1
7669,Djibouti,Tanzania,1,75.66666666666667,4,43.41666666666666,0
25036,Bahrain,United Arab Emirates,0,1228.25,9,26.375,0
14467,Antigua and Barbuda,Guyana,2,275.0833333333333,8,-8.25,1
8613,Ghana,Tunisia,2,511.41666666666674,9,26.83333333333333,0
15572,England,Switzerland,3,1139.2727272727273,5,-13.363636363636365,0
14617,Shetland,Saare County,3,0.0,0,0.0,1
4822,Ghana,Netherlands,0,42.9,10,44.6,0
3697,Uzbekistan,Cambodia,6,31.7,2,-87.8,1
314,Japan,South Korea,0,22.0,0,66.0,1
13097,South Africa,Mozambique,2,451.66666666666674,8,-17.41666666666667,1
23835,Malawi,Namibia,2,1132.625,4,9.125,0
13652,Lesotho,Gabon,0,115.66666666666669,6,74.24999999999999,0
11742,Burundi,Egypt,1,194.0909090909091,1,121.27272727272728,0
11789,Armenia,Belgium,0,313.09090909090907,3,58.54545454545454,1
15108,Singapore,Thailand,0,190.54545454545453,3,20.0,0
1599,Switzerland,Colombia,0,56.1,3,-9.4,1
8195,France,Cyprus,2,794.0,6,-80.45454545454545,0
15121,Gabon,Zambia,1,707.9090909090909,3,-33.81818181818182,1
23272,Sweden,Turkey,2,1282.8333333333333,4,-19.666666666666668,1
15697,Bahrain,Uzbekistan,2,453.45454545454544,15,-19.272727272727266,1
4413,Belgium,Romania,1,51.7,3,18.4,1
16483,Norway,Czech Republic,3,921.4166666666665,4,-19.66666666666667,1
23730,Ukraine,Portugal,0,1515.875,5,19.0,0
21744,Thailand,Australia,2,275.5833333333333,9,70.16666666666666,1
2449,Mali,Gambia,1,35.8,8,-60.2,1
1793,Morocco,Ivory Coast,1,43.2,8,29.8,1
7585,Bahrain,Thailand,1,359.75,4,56.5,0
146,Latvia,Malta,0,10.0,0,26.0,0
10798,Australia,New Zealand,1,583.8333333333334,10,-51.25000000000001,1
23491,Wales,Denmark,1,1284.0,3,7.916666666666666,1
21806,Guinea-Bissau,Cameroon,1,397.25,2,48.25000000000001,0
17303,Namibia,Nigeria,0,279.75,5,62.75,0
18976,Lebanon,Jordan,0,249.75,7,48.66666666666667,0
13587,Bermuda,Trinidad and Tobago,2,209.0,3,45.66666666666666,0
9317,Mali,Morocco,1,511.83333333333326,4,32.00000000000001,0
1003,Republic of Ireland,Lithuania,1,54.6,3,-74.8,0
16275,Paraguay,Bolivia,0,811.9166666666665,7,-72.0,1
14985,Vietnam,Syria,0,195.16666666666663,7,38.49999999999999,1
19699,Singapore,Laos,2,140.75,4,-12.833333333333346,1
12451,Kazakhstan,Azerbaijan,1,224.75,6,7.916666666666656,1
14148,Vietnam,Laos,4,192.5,9,-47.25,1
10989,Scotland,Italy,1,527.5,6,67.16666666666666,1
15412,Spain,Germany,1,1752.6363636363635,9,-3.454545454545455,0
16293,Mexico,Costa Rica,4,852.25,14,-36.083333333333336,1
6161,Uruguay,Chile,2,562.5833333333334,8,17.083333333333332,1
5553,Iraq,Estonia,1,373.83333333333326,0,14.666666666666671,1
15928,North Korea,Bahrain,1,0.0,18,-98.58333333333331,0
15516,Kenya,Guinea-Bissau,0,235.1818181818182,7,-59.72727272727274,0
9595,Bosnia and Herzegovina,Luxembourg,2,532.5,4,-86.41666666666669,0
3263,Jamaica,Mexico,1,41.5,12,32.1,1
3678,Armenia,Ukraine,1,26.5,6,55.2,0
20448,Slovakia,Spain,0,939.6666666666665,5,10.583333333333334,0
9176,Japan,Romania,1,644.3333333333334,2,1.166666666666668,0
22227,Tanzania,South Africa,1,208.08333333333331,4,70.08333333333333,0
6574,Kuwait,South Korea,1,479.33333333333326,0,71.16666666666667,0
24106,Kenya,Senegal,0,1201.75,4,85.5,1
25016,Netherlands,Bosnia and Herzegovina,3,1604.125,4,-36.875,1
15431,Chad,Tunisia,1,141.54545454545453,0,85.45454545454544,1
12200,Republic of Ireland,San Marino,2,698.5833333333335,2,-157.66666666666666,0
2729,Israel,South Korea,4,39.7,5,48.5,1
24915,Armenia,Georgia,2,1218.5,5,11.375,1
24955,Austria,Romania,1,1514.75,5,-12.25,0
13671,Comoros,Namibia,0,12.583333333333336,1,72.74999999999999,1
22678,Brunei,Kyrgyzstan,0,0.0,2,0.0,1
19904,Iraq,Iran,3,372.25,5,89.75,0
16131,Honduras,China PR,0,585.0833333333334,13,-25.333333333333336,0
24744,Saint Lucia,Montserrat,0,0.0,1,-191.75,1
2593,Macau,Philippines,5,3.6,0,1.0999999999999943,1
22969,Slovakia,Netherlands,1,1181.25,3,9.5,1
4469,Finland,Germany,0,41.8,3,56.3,1
15792,Guinea,Burkina Faso,1,414.6363636363636,5,32.72727272727273,0
24993,Russia,Moldova,0,1470.875,5,-138.5,0
5775,Nepal,Turkmenistan,0,162.25,3,39.41666666666666,0
11863,Jordan,Iran,0,397.3636363636364,3,91.1818181818182,1
6916,Northern Ireland,Czech Republic,0,437.0,4,88.66666666666669,1
19834,China PR,Palestine,0,345.83333333333326,8,-28.33333333333333,1
20984,Cameroon,South Africa,2,559.0,7,-6.750000000000008,1
16729,Serbia,Italy,1,833.1666666666665,6,14.250000000000002,1
17039,Ivory Coast,Burkina Faso,2,0.0,2,-82.66666666666667,1
10054,Zimbabwe,Botswana,2,569.3333333333334,7,-59.75000000000001,1
18451,Zambia,Sudan,1,575.1666666666666,7,-72.16666666666666,1
263,Mexico,El Salvador,2,43.0,0,-25.0,0
20047,San Marino,Liechtenstein,0,41.91666666666666,1,49.25,0
5034,Guadeloupe,Barbados,1,0.0,1,-115.0,1
21844,Burundi,Djibouti,1,216.41666666666663,1,-56.416666666666686,1
5343,Bolivia,Japan,1,508.16666666666674,0,10.583333333333336,1
5877,Haiti,Dominica,3,434.66666666666674,5,-67.08333333333333,0
6653,Djibouti,Somalia,0,48.66666666666666,0,-2.3333333333333144,1
15246,Brittany,Togo,2,0.0,0,-81.0909090909091,1
23313,Brazil,El Salvador,5,1596.333333333333,4,-75.75,1
8815,Cape Verde,Togo,2,0.0,2,-90.0,0
18751,Kuwait,Jordan,1,305.8333333333333,8,33.41666666666667,0
3065,Brunei,Thailand,0,0.0,0,-59.4,0
19958,Honduras,French Guiana,1,419.5,4,82.0,0
11268,Togo,Guinea,0,570.0909090909091,6,15.0,0
5373,Rwanda,Djibouti,4,114.83333333333331,3,-26.25,1
24510,British Virgin Islands,Bonaire,3,859.125,0,206.125,1
3493,Saudi Arabia,Indonesia,3,50.3,18,-72.9,1
20149,Brazil,Honduras,1,1279.9166666666667,9,-76.16666666666667,1
19339,Costa Rica,England,0,868.8333333333335,12,9.583333333333334,1
11235,Bhutan,India,0,91.83333333333331,0,55.5,0
6687,Togo,Burkina Faso,1,501.08333333333326,4,0.75,1
20643,Cambodia,Singapore,1,70.5,6,25.5,0
4569,Romania,Tunisia,1,58.7,4,-8.7,1
20623,Iran,Japan,1,0.0,5,-53.0,1
5089,Poland,Sweden,0,593.0833333333334,4,14.083333333333336,1
13854,Venezuela,Paraguay,0,519.3333333333334,4,38.33333333333333,0
10964,Mozambique,Zimbabwe,0,359.91666666666674,0,73.83333333333331,0
4672,Sweden,Russia,1,54.1,5,-2.5,1
18714,Cyprus,Slovenia,0,242.66666666666663,4,83.91666666666666,1
9413,Oman,Qatar,2,551.8333333333334,8,-0.25,1
9647,Ghana,Angola,1,514.3333333333334,6,-3.0,1
20736,Slovakia,Switzerland,3,939.6666666666665,4,7.083333333333334,1
1822,Spain,Denmark,3,58.0,5,-3.6000000000000005,1
5801,Eswatini,Lesotho,0,0.0,2,-145.41666666666666,0
5466,Ukraine,France,0,598.5833333333334,4,25.08333333333333,1
9326,Latvia,Turkey,2,501.16666666666674,4,65.75,0
2996,Peru,Costa Rica,3,34.3,3,-15.700000000000005,1
486,Malawi,Zimbabwe,1,27.0,0,-1.0,0
7920,Japan,Costa Rica,1,641.6363636363636,11,3.0,1
2555,Egypt,Cameroon,1,49.1,9,-15.299999999999995,0
9807,Cameroon,Benin,2,704.6666666666665,4,-106.16666666666666,1
11048,Guyana,Dominica,3,153.58333333333334,1,10.5,1
4775,New Zealand,Vanuatu,8,23.3,4,-66.3,1
21069,Uruguay,Peru,1,1139.8333333333333,5,-25.416666666666664,1
8745,Jersey,Guernsey,1,0.0,2,0.0,1
22041,Georgia,Saint Kitts and Nevis,3,290.1666666666667,3,115.0,1
17554,Sweden,China PR,1,896.75,4,-56.66666666666667,1
22243,Guinea-Bissau,Gambia,0,397.25,1,-79.58333333333333,1
17124,Cape Verde,Madagascar,4,0.0,1,-166.16666666666666,0
16080,Tajikistan,Maldives,0,176.25,3,-20.916666666666657,0
7573,Nigeria,Japan,2,579.0,3,9.666666666666664,0
20209,Spain,Belarus,1,1170.75,5,-80.25,0
19598,Montenegro,Austria,0,566.0,5,14.916666666666664,0
16297,Canada,Panama,1,403.66666666666674,2,24.083333333333336,1
23593,Tunisia,Morocco,0,1251.6666666666667,5,-19.33333333333333,1
17932,Guam,Hong Kong,1,43.83333333333334,3,27.166666666666693,0
21721,China PR,Qatar,0,414.91666666666674,11,-0.1666666666666714,1
14218,Turkmenistan,Syria,1,137.83333333333334,7,52.49999999999999,0
15720,Georgia,Latvia,1,291.0,7,46.81818181818182,0
9625,Vanuatu,Solomon Islands,1,281.5,0,10.083333333333343,1
10894,Colombia,Panama,2,675.5833333333334,6,-62.83333333333333,1
18362,Malawi,Namibia,0,294.9166666666667,5,-10.833333333333329,1
3653,Germany,Ukraine,2,63.4,6,-49.2,1
2863,Sri Lanka,Oman,0,13.6,3,42.7,1
21974,Martinique,Guadeloupe,4,0.0,3,0.0,1
11944,Chile,Peru,1,613.0,4,-9.181818181818187,0
15826,Bosnia and Herzegovina,Slovakia,3,585.5454545454545,5,24.272727272727273,0
18754,Singapore,Laos,1,139.16666666666666,9,-9.666666666666686,1
16808,Switzerland,Montenegro,2,839.3333333333335,8,-5.5,1
23014,Brazil,Croatia,2,1596.333333333333,7,-8.5,0
18821,Oman,Jordan,0,360.41666666666674,4,20.66666666666667,0
23098,Uruguay,Egypt,1,1321.6666666666667,7,-37.333333333333336,0
4,Cameroon,Morocco,1,43.0,0,-19.0,1
14499,Serbia,Austria,1,846.5,4,-50.58333333333333,1
12945,Saint Martin,British Virgin Islands,0,0.0,0,-182.25,1
14889,Greece,Luxembourg,2,942.75,8,-108.5,1
416,Morocco,Ethiopia,5,32.0,0,-44.0,1
10026,Czech Republic,Greece,0,747.0,5,-17.916666666666668,1
3246,Bosnia and Herzegovina,Slovenia,2,4.142857142857143,1,102.45714285714287,0
22952,Malta,Armenia,1,497.08333333333326,3,86.41666666666669,0
20652,Angola,South Africa,2,372.33333333333326,4,24.916666666666657,0
16990,Afghanistan,Bhutan,8,57.33333333333334,1,-17.833333333333343,0
7298,Libya,Angola,1,372.91666666666674,4,60.49999999999999,1
16264,Belarus,Luxembourg,2,588.75,5,-76.41666666666667,1
20444,San Marino,England,0,41.91666666666666,4,178.66666666666669,1
15954,Uganda,DR Congo,1,403.33333333333326,8,83.83333333333333,0
11839,Dominica,Martinique,0,93.36363636363636,0,178.9090909090909,1
21660,Bolivia,Venezuela,0,425.41666666666674,5,18.0,0
24526,Gibraltar,Georgia,2,890.0,4,104.25,1
21206,South Sudan,Mali,0,181.41666666666663,6,92.66666666666666,1
21532,Greece,Cyprus,2,665.1666666666666,2,-49.91666666666666,1
23902,Romania,Norway,2,1490.75,4,-17.0,0
6843,Romania,Lithuania,3,687.5833333333335,9,-78.83333333333334,0
9195,Congo,Sierra Leone,1,418.75,3,-32.16666666666667,1
19957,Cuba,Dominican Republic,3,295.9166666666667,3,-13.166666666666671,0
20859,Bangladesh,Nepal,0,86.41666666666669,9,-3.6666666666666567,1
19313,Iran,Nigeria,0,0.0,3,-41.583333333333336,1
17816,Vietnam,Indonesia,0,282.0,2,-37.33333333333333,1
19858,Iran,Bahrain,2,0.0,5,-111.5,1
13375,Albania,Poland,0,398.16666666666674,7,56.41666666666667,1
18113,Slovakia,Belgium,1,561.4166666666666,6,43.91666666666667,0
10637,Peru,Brazil,0,555.6666666666666,6,67.16666666666667,0
19408,Norway,United Arab Emirates,0,522.6666666666666,7,-9.166666666666671,1
8880,France,Turkey,3,807.25,8,-5.25,1
6638,Iceland,Poland,0,534.4166666666666,7,12.5,0
17661,Mozambique,South Africa,0,317.3333333333333,2,37.66666666666666,0
2530,Trinidad and Tobago,Venezuela,0,42.7,5,-74.3,1
22278,United States,El Salvador,2,0.0,9,-107.25,1
14101,Hungary,Northern Ireland,2,571.8333333333334,8,17.416666666666664,0
24189,Tanzania,Kenya,0,1088.875,3,27.375,0
24159,Vanuatu,Samoa,11,995.5,0,-31.875,0
21101,Belgium,Switzerland,2,1406.916666666667,5,-11.5,0
4844,Ukraine,Armenia,2,43.4,5,-52.5,1
3928,Estonia,Faroe Islands,0,29.3,7,-23.200000000000006,1
16652,Albania,Luxembourg,1,501.33333333333326,3,-61.08333333333334,0
22548,Maldives,Oman,1,173.33333333333337,6,34.91666666666666,1
4771,Lebanon,Saudi Arabia,1,29.8,4,67.0,0
19366,Mozambique,Malawi,1,282.0,7,-0.4166666666666714,0
17521,Norway,Greece,2,780.75,6,12.750000000000002,1
15984,Australia,Iraq,1,852.4166666666665,6,-72.08333333333333,1
12855,Sweden,Liechtenstein,3,894.1666666666665,9,-117.58333333333331,0
6217,Paraguay,Australia,1,660.5,9,-62.5,0
17520,Finland,Northern Ireland,3,425.25,7,-18.583333333333343,0
5977,Libya,Mali,3,293.5,4,39.5,1
7168,Indonesia,China PR,0,456.33333333333326,5,25.33333333333333,1
16115,England,Wales,2,1161.0833333333333,4,-90.08333333333331,0
24652,Finland,Liechtenstein,3,1387.875,6,-124.25,1
18221,Thailand,Lebanon,2,205.08333333333331,3,14.083333333333329,0
17534,Maldives,Nepal,2,120.0,10,7.083333333333344,1
6224,England,Germany,1,682.1666666666666,6,6.083333333333332,1
19524,Gabon,Lesotho,1,408.16666666666674,4,-46.25000000000002,0
2219,Sudan,Uganda,0,20.1,3,18.899999999999988,0
23169,Jamaica,Barbados,2,1034.3333333333333,7,-105.83333333333334,0
24562,Mongolia,Kyrgyzstan,1,913.5,5,187.25,1
18618,Cameroon,DR Congo,1,538.3333333333334,12,62.91666666666666,0
5881,U.S. Virgin Islands,Saint Vincent and the Grenadines,1,0.0,1,0.0,1
22922,Saint Kitts and Nevis,Jamaica,1,0.0,2,-52.91666666666666,1
21406,Japan,United Arab Emirates,1,592.3333333333334,9,-14.499999999999993,1
16577,Russia,North Macedonia,1,946.0,3,-76.58333333333333,1
20788,Nigeria,Eswatini,2,627.9166666666666,9,49.91666666666666,1
8350,Luxembourg,Cape Verde,0,256.8181818181818,5,146.36363636363637,1
12420,Botswana,Burundi,0,314.9166666666667,4,-13.666666666666654,0
13504,Malawi,DR Congo,0,263.0833333333333,3,121.0,0
5997,Haiti,Bahamas,4,434.66666666666674,5,-93.58333333333331,0
15516,Guinea-Bissau,Kenya,1,57.54545454545455,0,59.72727272727274,1
22051,Padania,Felvidék,2,0.0,3,0.0,1
