,Pre
13295,3.0251236372051427
12630,1.2672891200875311
24866,1.4548890689928944
8429,1.1336362987129864
6412,0.8301460967684631
18765,1.342356758509114
18349,1.6867164994498363
21940,1.3521298195435636
21750,1.6975758118216833
16166,3.084728110021567
18379,0.5430294784336167
13394,1.6868855812082462
4374,1.0255752590257448
14837,1.7777101069279513
15724,1.7169793404399112
24483,2.0838626126855218
5235,1.1731298335442664
21730,1.2557552044693998
3016,1.47204185191211
17894,1.8037775232307918
199,1.2009241478763295
11550,1.0865679729151825
6926,1.4901332583010622
19023,1.412814760836116
11554,0.986430720745931
22710,0.4249434115956842
24120,1.2976951186788006
18700,1.3063835529894396
20283,1.1562835248387753
5823,0.9278856583692691
17579,1.9910802809539432
20015,0.6329345745433959
3505,1.6522980629521558
12395,1.7483548980449797
18159,0.9397472619707072
5733,1.6457939383171316
3221,0.8720273225849222
14760,1.0675243692891057
6309,1.0029073142991152
12687,1.627989815125711
7359,2.1093858475545146
14273,1.3272292587766377
21968,0.9125930270288458
4901,1.2599859963305728
7144,1.250971993755527
7621,1.3128670696461229
2778,0.9557145166927523
17364,2.4886293124776406
8257,1.3158096169732802
22220,1.0085043418238222
534,1.2009241478763295
12753,1.5768258502347985
13256,1.2335065451217326
2522,1.3322258230784396
10131,2.440815519973994
13573,1.0245865990741503
20628,1.2144500466199433
11933,0.8278617947673298
16893,1.6713586203404929
21186,1.2599859963305728
1503,0.9358484104265684
20071,0.5399619074180609
23158,1.4136302096604552
1708,1.1634731281689916
13624,3.0203075641584616
23144,1.3713397469711521
6623,0.7522283918477993
12047,1.2409198497536256
2208,0.9279732964855744
921,0.9959998160569997
17964,1.6590652928348961
16926,0.8152775801441668
20505,2.0135712591291686
1367,1.2807240439983687
22198,1.2599859963305728
12716,1.2125358290103638
12923,1.286062507424162
9389,1.844513545126125
8088,0.9977950098899387
12506,1.279351839039927
17914,0.46255699408503664
9960,1.2652053090034363
19905,1.178462215488363
15638,0.9469548225626838
3283,0.9002070492515144
5990,2.794934768432876
12951,1.3400487744122473
20011,1.3474177681513466
10986,2.774858579728519
19780,0.8128890373089938
3609,1.1629923684701857
7122,1.4392224300089098
9811,1.6995554935388553
21779,1.4080754689533843
19603,0.5187413992042553
344,1.0376037488202388
3934,1.2443710095590055
