,home_team,away_team,Goals,Ranking_home_team,Ranking_away_team
289,Algeria,Guinea-Bissau,3,30.0,117.0
290,Indonesia,Australia,-3,108.0,45.0
291,Mali,Libya,2,69.0,137.0
292,Tanzania,Ghana,0,80.0,39.0
293,Uganda,Ethiopia,3,92.0,85.0
294,Benin,Niger,-1,127.0,81.0
295,Burundi,Congo,1,100.0,90.0
296,Chad,Guinea,-3,155.0,63.0
297,DR Congo,Mozambique,2,0.0,107.0
298,Estonia,Switzerland,-6,132.0,12.0
299,Gabon,Cameroon,0,55.0,22.0
300,Lesotho,Kenya,0,142.0,76.0
301,Panama,Costa Rica,1,120.0,37.0
302,Senegal,Togo,2,51.0,101.0
303,Zimbabwe,South Africa,4,54.0,124.0
304,Ethiopia,Iraq,-13,85.0,82.0
305,Jordan,Sudan,3,110.0,111.0
306,Moldova,Pakistan,5,0.0,145.0
307,Bulgaria,Mexico,0,26.0,25.0
308,Czechoslovakia,Austria,0,18.0,34.0
309,Congo,Iraq,-3,90.0,82.0
310,Jordan,Pakistan,2,110.0,145.0
311,Moldova,Sudan,2,0.0,111.0
312,China PR,North Korea,0,56.0,0.0
313,Congo,Ethiopia,3,90.0,85.0
314,Japan,South Korea,0,66.0,0.0
315,Jordan,Moldova,1,110.0,0.0
316,Pakistan,Sudan,-4,145.0,111.0
317,Costa Rica,Panama,5,37.0,120.0
318,Uzbekistan,Kyrgyzstan,3,0.0,0.0
319,China PR,Japan,-2,56.0,66.0
320,South Korea,North Korea,0,0.0,0.0
321,China PR,South Korea,-2,56.0,0.0
322,Finland,Poland,0,44.0,20.0
323,France,Brazil,-2,19.0,3.0
324,Hungary,Ukraine,2,36.0,129.0
325,Iraq,Moldova,1,82.0,0.0
326,Japan,North Korea,4,66.0,0.0
327,Jordan,Congo,2,110.0,90.0
328,Latvia,Denmark,0,99.0,9.0
329,Norway,Sweden,0,14.0,4.0
330,Romania,Mexico,2,11.0,25.0
331,Turkey,Bulgaria,3,42.0,26.0
332,Congo,Moldova,-2,90.0,0.0
333,Jordan,Iraq,2,110.0,82.0
334,China PR,North Korea,0,56.0,0.0
335,Japan,South Korea,0,66.0,0.0
336,Kenya,DR Congo,-2,76.0,0.0
337,Malawi,Mali,0,53.0,69.0
338,Nigeria,Uganda,2,13.0,92.0
339,Sierra Leone,Algeria,1,79.0,30.0
340,Cameroon,Benin,2,22.0,127.0
341,Congo,Chad,2,90.0,155.0
342,Ethiopia,Sudan,3,85.0,111.0
343,Ghana,Burkina Faso,3,39.0,97.0
344,Guinea,Burundi,0,63.0,100.0
345,Liberia,Tanzania,0,84.0,80.0
346,Mauritius,Zimbabwe,-1,112.0,54.0
347,Mozambique,Lesotho,3,107.0,142.0
348,Niger,Gabon,-2,81.0,55.0
349,Senegal,Guinea-Bissau,3,51.0,117.0
350,South Africa,Zambia,-1,124.0,32.0
351,Austria,Portugal,0,34.0,33.0
352,Czechoslovakia,Belgium,-1,18.0,17.0
353,Greece,Cyprus,-1,31.0,72.0
354,Lithuania,Georgia,1,93.0,0.0
355,Canada,United States,-2,57.0,0.0
356,Solomon Islands,Australia,-1,136.0,45.0
357,Bulgaria,France,2,26.0,19.0
358,Denmark,Germany,-1,9.0,1.0
359,Finland,Sweden,-1,44.0,4.0
360,Republic of Ireland,Latvia,4,6.0,99.0
361,Luxembourg,Hungary,-3,103.0,36.0
362,Netherlands,Italy,-1,7.0,2.0
363,Northern Ireland,Albania,3,43.0,86.0
364,Norway,San Marino,10,14.0,126.0
365,Poland,Israel,0,20.0,64.0
366,Spain,England,1,15.0,5.0
367,Switzerland,Scotland,3,12.0,23.0
368,Wales,Faroe Islands,6,28.0,94.0
369,Tahiti,Australia,-3,123.0,45.0
370,Fiji,Vanuatu,3,106.0,159.0
371,El Salvador,Honduras,3,50.0,40.0
372,Turkmenistan,Kazakhstan,0,0.0,0.0
373,Georgia,Azerbaijan,6,0.0,0.0
374,Honduras,El Salvador,0,40.0,50.0
375,Australia,Tahiti,2,45.0,123.0
376,Honduras,Jamaica,5,40.0,67.0
377,Brazil,Costa Rica,4,3.0,37.0
378,Czechoslovakia,Faroe Islands,4,18.0,94.0
379,Hungary,Israel,0,36.0,64.0
380,Latvia,Spain,0,99.0,15.0
381,Lithuania,Denmark,0,93.0,9.0
382,Norway,Netherlands,2,14.0,7.0
383,Poland,Turkey,1,20.0,42.0
384,Uruguay,Argentina,0,16.0,10.0
385,Honduras,Jamaica,7,40.0,67.0
386,Australia,Solomon Islands,6,45.0,136.0
387,Kyrgyzstan,Kazakhstan,0,0.0,0.0
388,Vanuatu,Fiji,-3,159.0,106.0
389,Saint Vincent and the Grenadines,Jamaica,-1,0.0,67.0
390,Botswana,Kenya,-2,139.0,76.0
391,Iran,Cameroon,0,0.0,22.0
392,Botswana,Kenya,-1,139.0,76.0
393,Kyrgyzstan,Uzbekistan,-4,0.0,0.0
394,Gabon,Chad,1,55.0,155.0
395,Guinea-Bissau,Sierra Leone,-3,117.0,79.0
396,Iran,Cameroon,0,0.0,22.0
397,Jamaica,Saint Vincent and the Grenadines,0,67.0,0.0
398,Mali,Morocco,2,69.0,41.0
399,Togo,Algeria,0,101.0,30.0
400,Saudi Arabia,Cameroon,2,48.0,22.0
401,Cyprus,Malta,3,72.0,73.0
402,El Salvador,Mexico,-2,50.0,25.0
403,Iceland,Greece,-1,46.0,31.0
404,San Marino,Norway,-2,126.0,14.0
405,Sweden,Bulgaria,2,4.0,26.0
406,Algeria,Burundi,3,30.0,100.0
407,Tahiti,Solomon Islands,4,123.0,136.0
408,United States,Canada,0,0.0,57.0
409,Zimbabwe,Togo,1,54.0,101.0
410,Nigeria,South Africa,4,13.0,124.0
411,DR Congo,Liberia,4,0.0,84.0
412,Egypt,Angola,1,21.0,102.0
413,Gabon,Mozambique,3,55.0,107.0
414,Ivory Coast,Botswana,6,0.0,139.0
415,Madagascar,Namibia,3,74.0,158.0
416,Morocco,Ethiopia,5,41.0,85.0
417,Qatar,Hungary,-3,52.0,36.0
418,Tunisia,Benin,5,38.0,127.0
419,Zambia,Tanzania,2,32.0,80.0
420,Qatar,Hungary,0,52.0,36.0
421,Armenia,Moldova,0,0.0,0.0
422,Belgium,Romania,1,17.0,11.0
423,Cyprus,Wales,-1,72.0,28.0
424,Denmark,Republic of Ireland,0,9.0,6.0
425,England,Norway,0,5.0,14.0
426,France,Austria,2,19.0,34.0
427,Germany,Mexico,0,1.0,25.0
428,Italy,Switzerland,0,2.0,12.0
429,Lithuania,Slovakia,-1,93.0,0.0
430,Netherlands,Poland,0,7.0,20.0
431,Northern Ireland,Spain,0,43.0,15.0
432,Russia,Iceland,1,8.0,46.0
433,Scotland,Portugal,0,23.0,33.0
434,Turkmenistan,Kyrgyzstan,4,0.0,0.0
435,Uzbekistan,Kazakhstan,0,0.0,0.0
436,Saudi Arabia,United States,3,48.0,0.0
437,Argentina,Ivory Coast,4,10.0,0.0
438,Bermuda,El Salvador,1,58.0,50.0
439,Cameroon,Eswatini,5,22.0,0.0
440,Jamaica,Canada,0,67.0,57.0
441,Kuwait,Iran,0,71.0,0.0
442,Niger,Mali,-2,81.0,69.0
443,United States,Ivory Coast,5,0.0,0.0
444,Saudi Arabia,Argentina,-2,48.0,10.0
445,South Korea,United Arab Emirates,0,0.0,59.0
446,Croatia,Mexico,3,113.0,25.0
447,Kuwait,Oman,4,71.0,116.0
448,South Africa,Congo,1,124.0,90.0
449,Benin,Morocco,-1,127.0,41.0
450,Bermuda,Jamaica,0,58.0,67.0
451,Burundi,Ghana,1,100.0,39.0
452,El Salvador,Canada,0,50.0,57.0
453,Ethiopia,Tunisia,0,85.0,38.0
454,Kazakhstan,Kyrgyzstan,2,0.0,0.0
455,Malta,Estonia,0,73.0,132.0
456,Mozambique,Senegal,-1,107.0,51.0
457,Namibia,Zambia,-4,158.0,32.0
458,Niger,Ivory Coast,0,81.0,0.0
459,Eswatini,DR Congo,1,0.0,0.0
460,Tanzania,Madagascar,0,80.0,74.0
461,Togo,Egypt,-3,101.0,21.0
462,Turkmenistan,Uzbekistan,1,0.0,0.0
463,Austria,Israel,5,34.0,64.0
464,Belarus,Ukraine,0,146.0,129.0
465,Lithuania,Latvia,0,93.0,99.0
466,Russia,Luxembourg,2,8.0,103.0
467,Turkey,San Marino,4,42.0,126.0
468,Qatar,Thailand,0,52.0,75.0
469,Saudi Arabia,China PR,0,48.0,56.0
470,Japan,United Arab Emirates,0,66.0,59.0
471,North Korea,Iran,-2,0.0,0.0
472,China PR,Thailand,0,56.0,75.0
473,Saudi Arabia,Qatar,0,48.0,52.0
474,Canada,Jamaica,1,57.0,67.0
475,El Salvador,Bermuda,4,50.0,58.0
476,Japan,North Korea,0,66.0,0.0
477,United Arab Emirates,Iran,0,59.0,0.0
478,China PR,Qatar,2,56.0,52.0
479,Egypt,Kuwait,0,21.0,71.0
480,Saudi Arabia,Thailand,4,48.0,75.0
481,Japan,Iran,1,66.0,0.0
482,United Arab Emirates,North Korea,2,59.0,0.0
483,Japan,China PR,3,66.0,56.0
484,Saudi Arabia,United Arab Emirates,2,48.0,59.0
485,Tunisia,Finland,0,38.0,44.0
486,Zimbabwe,Malawi,-1,54.0,53.0
487,Canada,El Salvador,-1,57.0,50.0
488,China PR,United Arab Emirates,0,56.0,59.0
489,Costa Rica,Honduras,-1,37.0,40.0
490,Jamaica,Bermuda,3,67.0,58.0
491,Japan,Saudi Arabia,1,66.0,48.0
492,Morocco,Egypt,0,41.0,21.0
493,Togo,Guinea-Bissau,0,101.0,117.0
494,Zimbabwe,Malawi,4,54.0,53.0
495,Albania,Latvia,0,86.0,99.0
496,Bulgaria,Portugal,-1,26.0,33.0
497,Greece,Hungary,0,31.0,36.0
498,Israel,Sweden,-2,64.0,4.0
499,France,Finland,2,19.0,44.0
500,Romania,Czechoslovakia,0,11.0,18.0
501,Canada,Bermuda,4,57.0,58.0
502,Ethiopia,Zanzibar,3,85.0,0.0
503,Kenya,Uganda,0,76.0,92.0
504,Mexico,Honduras,2,25.0,40.0
505,Niger,Mali,-1,81.0,69.0
506,Tanzania,Malawi,0,80.0,53.0
507,Ethiopia,Zambia,-1,85.0,32.0
508,United Arab Emirates,Senegal,0,59.0,51.0
509,Belgium,Wales,2,17.0,28.0
510,Cyprus,Slovenia,0,72.0,131.0
511,England,Turkey,4,5.0,42.0
512,Germany,Austria,0,1.0,34.0
513,Kenya,Seychelles,2,76.0,147.0
514,Northern Ireland,Denmark,-1,43.0,9.0
515,Poland,Latvia,1,20.0,99.0
516,Scotland,Italy,0,23.0,2.0
517,Spain,Republic of Ireland,0,15.0,6.0
518,Switzerland,Malta,3,12.0,73.0
519,Tanzania,Zanzibar,-1,80.0,0.0
520,Malawi,Zambia,1,53.0,32.0
521,United Arab Emirates,Senegal,0,59.0,51.0
522,Egypt,Kuwait,0,21.0,71.0
523,Tanzania,Ethiopia,2,80.0,85.0
524,Seychelles,Uganda,-3,147.0,92.0
525,Zambia,Zanzibar,8,32.0,0.0
526,Ethiopia,Malawi,-1,85.0,53.0
527,Jamaica,El Salvador,-2,67.0,50.0
528,Mexico,Costa Rica,4,25.0,37.0
529,Tanzania,Zambia,-1,80.0,32.0
530,Algeria,United Arab Emirates,0,30.0,59.0
531,Malawi,Zanzibar,3,53.0,0.0
532,Brazil,Uruguay,-1,3.0,16.0
533,Uganda,Zambia,0,92.0,32.0
534,Argentina,Poland,2,10.0,20.0
535,Qatar,Oman,2,52.0,116.0
536,Malawi,Zambia,-4,53.0,32.0
537,Saudi Arabia,Bahrain,-1,48.0,88.0
538,United Arab Emirates,Kuwait,-2,59.0,71.0
539,Costa Rica,Mexico,2,37.0,25.0
540,Cyprus,Romania,-3,72.0,11.0
541,Uruguay,Poland,-1,16.0,20.0
542,Kuwait,Oman,2,71.0,116.0
543,Saudi Arabia,United Arab Emirates,-1,48.0,59.0
544,Qatar,Bahrain,1,52.0,88.0
545,China PR,Norway,2,56.0,14.0
546,Guatemala,Jamaica,2,83.0,67.0
547,Israel,Bulgaria,-2,64.0,26.0
548,Qatar,Kuwait,4,52.0,71.0
549,Bahrain,United Arab Emirates,-2,88.0,59.0
550,Oman,Saudi Arabia,-2,116.0,48.0
551,Honduras,Costa Rica,2,40.0,37.0
552,Bermuda,Canada,0,58.0,57.0
553,El Salvador,Jamaica,2,50.0,67.0
554,Kuwait,Saudi Arabia,-1,71.0,48.0
555,Qatar,United Arab Emirates,1,52.0,59.0
556,Bahrain,Oman,3,88.0,116.0
557,Singapore,Malaysia,3,89.0,91.0
558,Oman,United Arab Emirates,-1,116.0,59.0
559,Kuwait,Bahrain,-1,71.0,88.0
560,Qatar,Saudi Arabia,-1,52.0,48.0
561,Honduras,Mexico,0,40.0,25.0
562,Niger,Ghana,-1,81.0,39.0
563,Brazil,Germany,3,3.0,1.0
564,Guinea,Sierra Leone,0,63.0,79.0
565,Spain,Latvia,5,15.0,99.0
566,Turkey,Netherlands,-2,42.0,7.0
567,Malta,Italy,-1,73.0,2.0
568,Tanzania,Namibia,2,80.0,158.0
569,Botswana,Niger,-1,139.0,81.0
570,Congo,Nigeria,-1,90.0,13.0
571,Ethiopia,Benin,3,85.0,127.0
572,Gabon,Senegal,3,55.0,51.0
573,Ghana,Algeria,2,39.0,30.0
574,Guinea,Kenya,4,63.0,76.0
575,Madagascar,Zambia,2,74.0,32.0
576,Tunisia,Morocco,0,38.0,41.0
577,Uruguay,Germany,-3,16.0,1.0
578,Zimbabwe,Egypt,2,54.0,21.0
579,Cyprus,Georgia,1,72.0,0.0
580,Burkina Faso,Mali,3,97.0,69.0
581,Ghana,Mali,0,41.6,72.4
582,Gabon,Burkina Faso,0,57.0,121.0
583,Kuwait,Lebanon,2,62.2,109.4
584,Burkina Faso,Mali,1,121.0,72.4
585,Gabon,Ghana,-1,57.0,41.6
586,Uganda,Tanzania,3,97.0,97.6
587,Sierra Leone,Togo,0,81.6,110.2
588,Angola,Zimbabwe,0,97.4,46.4
589,Botswana,South Africa,-2,137.0,98.0
590,DR Congo,Cameroon,-1,0.0,23.2
591,Senegal,Algeria,-1,58.2,32.6
592,Tunisia,Bulgaria,3,33.6,32.0
