home_team,away_team,home_goals,away_goals,Ranking_home_team,Ranking_away_team,Total_Score_home_team,Total_Score_away_team,Total_count_home_team,Total_count_away_team,Year,tournament,HomeTeamRank_Difference,AwayTeamRank_Difference
Romania,Faroe Islands,7,0,11,94,51,12,0,0,1992,FIFA World Cup qualification,-83,83
Sweden,Poland,5,0,4,20,56,46,0,0,1992,Friendly,-16,16
Aruba,French Guiana,0,2,160,0,0,0,0,0,1992,CFU Caribbean Cup qualification,160,-160
Congo,Haiti,4,1,90,130,13,4,0,0,1992,Friendly,-40,40
Congo,Guadeloupe,1,1,90,0,13,0,0,0,1992,Friendly,90,-90
Cuba,Anguilla,5,0,144,0,1,0,0,0,1992,CFU Caribbean Cup qualification,144,-144
Suriname,French Guiana,3,2,95,0,12,0,0,0,1992,CFU Caribbean Cup qualification,95,-95
Iran,Pakistan,7,0,0,145,0,1,0,0,1992,AFC Asian Cup qualification,-145,145
Hungary,England,0,1,36,5,36,55,0,0,1992,Friendly,31,-31
Greece,Iceland,1,0,31,46,38,29,0,0,1992,FIFA World Cup qualification,-15,15
Norway,Faroe Islands,2,0,14,94,49,12,0,0,1992,Friendly,-80,80
Finland,Bulgaria,0,3,44,26,31,41,0,0,1992,FIFA World Cup qualification,18,-18
Kuwait,Syria,0,0,71,96,21,11,0,0,1992,Friendly,-25,25
United Arab Emirates,Qatar,1,0,59,52,25,27,0,0,1992,Friendly,7,-7
India,Iran,0,3,143,0,2,0,0,0,1992,AFC Asian Cup qualification,143,-143
England,Brazil,1,1,5,3,55,56,0,0,1992,Friendly,2,-2
Qatar,Kuwait,0,0,52,71,27,21,0,0,1992,Friendly,-19,19
United Arab Emirates,Syria,2,0,59,96,25,11,0,0,1992,Friendly,-37,37
United States,Scotland,0,1,0,23,0,43,0,0,1992,Friendly,-23,23
Austria,Poland,2,4,34,20,38,46,0,0,1992,Friendly,14,-14
Bahrain,Algeria,0,0,88,30,13,39,0,0,1992,Friendly,58,-58
Canada,Scotland,1,3,57,23,25,43,0,0,1992,Friendly,34,-34
Moldova,Lithuania,1,1,0,93,0,12,0,0,1992,Friendly,-93,93
Romania,Wales,5,1,11,28,51,40,0,0,1992,FIFA World Cup qualification,-17,17
United Arab Emirates,Syria,0,0,59,96,25,11,0,0,1992,Friendly,-37,37
Jamaica,Puerto Rico,2,1,67,122,22,5,0,0,1992,FIFA World Cup qualification,-55,55
Guatemala,Ecuador,1,1,83,65,15,23,0,0,1992,Friendly,18,-18
Haiti,Bermuda,2,1,130,58,4,25,0,0,1992,FIFA World Cup qualification,72,-72
Suriname,Guyana,1,1,95,128,12,4,0,0,1992,FIFA World Cup qualification,-33,33
Ethiopia,Sudan,5,1,85,111,14,7,0,0,1992,Friendly,-26,26
Republic of Ireland,Albania,2,0,6,86,54,14,0,0,1992,FIFA World Cup qualification,-80,80
Malta,Latvia,1,0,73,99,19,10,0,0,1992,Friendly,-26,26
Costa Rica,Ecuador,2,1,37,65,35,23,0,0,1992,Friendly,-28,28
Netherlands,Austria,3,2,7,34,54,38,0,0,1992,Friendly,-27,27
Poland,Czechoslovakia,1,0,20,18,46,47,0,0,1992,Friendly,2,-2
Sweden,Hungary,2,1,4,36,56,36,0,0,1992,Friendly,-32,32
Switzerland,France,2,1,12,19,51,46,0,0,1992,Friendly,-7,7
Qatar,Syria,4,2,52,96,27,11,0,0,1992,AFC Asian Cup qualification,-44,44
Germany,Turkey,1,0,1,42,57,31,0,0,1992,Friendly,-41,41
Netherlands,Wales,4,0,7,28,54,40,0,0,1992,Friendly,-21,21
Puerto Rico,Jamaica,0,1,122,67,5,22,0,0,1992,FIFA World Cup qualification,55,-55
United States,Republic of Ireland,3,1,0,6,0,54,0,0,1992,USA Cup,-6,6
Italy,Portugal,0,0,2,33,57,38,0,0,1992,USA Cup,-31,31
Qatar,Oman,4,0,52,116,27,6,0,0,1992,AFC Asian Cup qualification,-64,64
Trinidad and Tobago,Barbados,3,0,62,114,24,7,0,0,1992,FIFA World Cup qualification,-52,52
Kazakhstan,Turkmenistan,1,0,0,0,0,0,0,0,1992,Friendly,0,0
Germany,Northern Ireland,1,1,1,43,57,31,0,0,1992,Friendly,-42,42
Albania,Lithuania,1,0,86,93,14,12,0,0,1992,FIFA World Cup qualification,-7,7
Argentina,Wales,1,0,10,28,51,40,0,0,1992,Kirin Cup,-18,18
Denmark,Russia,1,1,9,8,52,52,0,0,1992,Friendly,1,-1
Estonia,Slovenia,1,1,132,131,3,3,0,0,1992,Friendly,1,-1
Faroe Islands,Belgium,0,3,94,17,12,48,0,0,1992,FIFA World Cup qualification,77,-77
Finland,England,1,2,44,5,31,55,0,0,1992,Friendly,39,-39
Hungary,Iceland,1,2,36,46,36,29,0,0,1992,FIFA World Cup qualification,-10,10
North Korea,Chinese Taipei,6,0,0,156,0,0,0,0,1992,AFC Asian Cup qualification,-156,156
Macau,Hong Kong,2,2,0,119,0,5,0,0,1992,AFC Asian Cup qualification,-119,119
Norway,Scotland,0,0,14,23,49,43,0,0,1992,Friendly,-9,9
United States,Portugal,1,0,0,33,0,38,0,0,1992,USA Cup,-33,33
Republic of Ireland,Italy,0,2,6,2,54,57,0,0,1992,USA Cup,4,-4
France,Netherlands,1,1,19,7,46,54,0,0,1992,Friendly,12,-12
Hong Kong,Chinese Taipei,0,0,119,156,5,0,0,0,1992,AFC Asian Cup qualification,-37,37
North Korea,Macau,2,0,0,0,0,0,0,0,1992,AFC Asian Cup qualification,0,0
United States,Italy,1,1,0,2,0,57,0,0,1992,USA Cup,-2,2
Guatemala,Nicaragua,7,1,83,154,15,0,0,0,1992,Friendly,-71,71
Republic of Ireland,Portugal,2,0,6,33,54,38,0,0,1992,USA Cup,-27,27
Japan,Wales,0,1,66,28,22,40,0,0,1992,Kirin Cup,38,-38
North Korea,Hong Kong,0,0,0,119,0,5,0,0,1992,AFC Asian Cup qualification,-119,119
Macau,Chinese Taipei,2,0,0,156,0,0,0,0,1992,AFC Asian Cup qualification,-156,156
New Zealand,Fiji,3,0,70,106,22,9,0,0,1992,FIFA World Cup qualification,-36,36
Sweden,France,1,1,4,19,56,46,0,0,1992,UEFA Euro,-15,15
Denmark,England,0,0,9,5,52,55,0,0,1992,UEFA Euro,4,-4
Netherlands,Scotland,1,0,7,23,54,43,0,0,1992,UEFA Euro,-16,16
Russia,Germany,1,1,8,1,52,57,0,0,1992,UEFA Euro,7,-7
Canada,Hong Kong,3,1,57,119,25,5,0,0,1992,Friendly,-62,62
United States,Australia,0,1,0,45,0,29,0,0,1992,Friendly,-45,45
Antigua and Barbuda,Bermuda,0,3,109,58,8,25,0,0,1992,FIFA World Cup qualification,51,-51
France,England,0,0,19,5,46,55,0,0,1992,UEFA Euro,14,-14
Gabon,Togo,1,0,55,101,27,10,0,0,1992,Friendly,-46,46
Guinea-Bissau,Cape Verde,3,1,117,0,6,0,0,0,1992,African Cup of Nations qualification,117,-117
Lesotho,Botswana,0,0,142,139,2,2,0,0,1992,African Cup of Nations qualification,3,-3
Sweden,Denmark,1,0,4,9,56,52,0,0,1992,UEFA Euro,-5,5
Netherlands,Russia,0,0,7,8,54,52,0,0,1992,UEFA Euro,-1,1
Scotland,Germany,0,2,23,1,43,57,0,0,1992,UEFA Euro,22,-22
Faroe Islands,Cyprus,0,2,94,72,12,20,0,0,1992,FIFA World Cup qualification,22,-22
France,Denmark,1,2,19,9,46,52,0,0,1992,UEFA Euro,10,-10
Sweden,England,2,1,4,5,56,55,0,0,1992,UEFA Euro,-1,1
Tajikistan,Uzbekistan,2,2,0,0,0,0,0,0,1992,Friendly,0,0
Argentina,Australia,2,0,10,45,51,29,0,0,1992,Friendly,-35,35
Netherlands,Germany,3,1,7,1,54,57,0,0,1992,UEFA Euro,6,-6
Scotland,Russia,3,0,23,8,43,52,0,0,1992,UEFA Euro,15,-15
Antigua and Barbuda,Suriname,1,1,109,95,8,12,0,0,1992,CFU Caribbean Cup,14,-14
South Korea,Bangladesh,6,0,0,133,0,3,0,0,1992,AFC Asian Cup qualification,-133,133
Guadeloupe,Jamaica,0,1,0,67,0,22,0,0,1992,CFU Caribbean Cup,-67,67
Mozambique,Eswatini,4,1,107,0,9,0,0,0,1992,Friendly,107,-107
Antigua and Barbuda,Martinique,1,4,109,0,8,0,0,0,1992,CFU Caribbean Cup,109,-109
Gabon,Burundi,0,1,55,100,27,10,0,0,1992,Friendly,-45,45
Sweden,Germany,2,3,4,1,56,57,0,0,1992,UEFA Euro,3,-3
Thailand,South Korea,2,1,75,0,18,0,0,0,1992,AFC Asian Cup qualification,75,-75
Uruguay,Australia,2,0,16,45,48,29,0,0,1992,Friendly,-29,29
Cuba,Jamaica,0,0,144,67,1,22,0,0,1992,CFU Caribbean Cup,77,-77
Netherlands,Denmark,2,2,7,9,54,52,0,0,1992,UEFA Euro,-2,2
Thailand,Bangladesh,1,0,75,133,18,3,0,0,1992,AFC Asian Cup qualification,-58,58
Jamaica,Martinique,1,0,67,0,22,0,0,0,1992,CFU Caribbean Cup,67,-67
Trinidad and Tobago,Cuba,1,0,62,144,24,1,0,0,1992,CFU Caribbean Cup,-82,82
Denmark,Germany,2,0,9,1,52,57,0,0,1992,UEFA Euro,8,-8
Sudan,Eritrea,1,1,111,0,7,0,0,0,1992,Friendly,111,-111
Cuba,Martinique,1,1,144,0,1,0,0,0,1992,CFU Caribbean Cup,144,-144
Trinidad and Tobago,Jamaica,3,1,62,67,24,22,0,0,1992,CFU Caribbean Cup,-5,5
United States,Ukraine,0,0,0,129,0,4,0,0,1992,Friendly,-129,129
Vanuatu,New Zealand,1,4,159,70,0,22,0,0,1992,FIFA World Cup qualification,89,-89
Botswana,Lesotho,0,4,139,142,2,2,0,0,1992,African Cup of Nations qualification,-3,3
Cape Verde,Guinea-Bissau,1,0,0,117,0,6,0,0,1992,African Cup of Nations qualification,-117,117
Chad,Eritrea,0,1,155,0,0,0,0,0,1992,Friendly,155,-155
China PR,Slovakia,2,3,56,0,26,0,0,0,1992,Friendly,56,-56
Honduras,Panama,4,0,40,120,32,5,0,0,1992,Friendly,-80,80
Uzbekistan,Turkmenistan,2,1,0,0,0,0,0,0,1992,Friendly,0,0
Honduras,Panama,4,0,40,120,32,5,0,0,1992,Friendly,-80,80
Sudan,Chad,1,0,111,155,7,0,0,0,1992,Friendly,-44,44
New Zealand,Vanuatu,8,0,70,159,22,0,0,0,1992,FIFA World Cup qualification,-89,89
Kazakhstan,Libya,1,0,0,137,0,2,0,0,1992,Friendly,-137,137
Bermuda,Antigua and Barbuda,2,1,58,109,25,8,0,0,1992,FIFA World Cup qualification,-51,51
Uruguay,Ecuador,3,1,16,65,48,23,0,0,1992,Friendly,-49,49
Australia,Croatia,1,0,45,113,29,7,0,0,1992,Friendly,-68,68
Guatemala,Poland,2,2,83,20,15,46,0,0,1992,Friendly,63,-63
Guinea-Bissau,Cape Verde,1,0,117,0,6,0,0,0,1992,African Cup of Nations qualification,117,-117
Trinidad and Tobago,Jamaica,1,2,62,67,24,22,0,0,1992,FIFA World Cup qualification,-5,5
Malawi,Zimbabwe,0,0,53,54,27,27,0,0,1992,Friendly,-1,1
South Africa,Cameroon,1,0,124,22,5,43,0,0,1992,Friendly,102,-102
Australia,Croatia,3,1,45,113,29,7,0,0,1992,Friendly,-68,68
Malawi,Zimbabwe,0,0,53,54,27,27,0,0,1992,Friendly,-1,1
South Africa,Cameroon,1,2,124,22,5,43,0,0,1992,Friendly,102,-102
Latvia,Estonia,2,1,99,132,10,3,0,0,1992,Baltic Cup,-33,33
Estonia,Lithuania,1,1,132,93,3,12,0,0,1992,Baltic Cup,39,-39
South Africa,Cameroon,2,2,124,22,5,43,0,0,1992,Friendly,102,-102
Turkmenistan,Tajikistan,3,3,0,0,0,0,0,0,1992,Friendly,0,0
Australia,Croatia,0,0,45,113,29,7,0,0,1992,Friendly,-68,68
Latvia,Lithuania,2,3,99,93,10,12,0,0,1992,Baltic Cup,6,-6
New Caledonia,Tahiti,0,1,0,123,0,5,0,0,1992,Friendly,-123,123
Kazakhstan,Uzbekistan,1,0,0,0,0,0,0,0,1992,Friendly,0,0
Solomon Islands,Tahiti,1,1,136,123,2,5,0,0,1992,FIFA World Cup qualification,13,-13
Guatemala,Honduras,0,0,83,40,15,32,0,0,1992,FIFA World Cup qualification,43,-43
Nicaragua,El Salvador,0,5,154,50,0,28,0,0,1992,FIFA World Cup qualification,104,-104
Vanuatu,Tahiti,1,2,159,123,0,5,0,0,1992,Friendly,36,-36
Cameroon,Egypt,0,1,22,21,43,45,0,0,1992,Friendly,1,-1
New Caledonia,Tahiti,1,2,0,123,0,5,0,0,1992,Friendly,-123,123
El Salvador,Nicaragua,5,1,50,154,28,0,0,0,1992,FIFA World Cup qualification,-104,104
Fiji,Solomon Islands,2,1,106,136,9,2,0,0,1992,Friendly,-30,30
Vanuatu,New Caledonia,0,1,159,0,0,0,0,0,1992,Friendly,159,-159
El Salvador,Mexico,1,2,50,25,28,43,0,0,1992,Friendly,25,-25
Honduras,Guatemala,2,0,40,83,32,15,0,0,1992,FIFA World Cup qualification,-43,43
Ivory Coast,Egypt,2,0,0,21,0,45,0,0,1992,Friendly,-21,21
Vanuatu,Solomon Islands,1,3,159,136,0,2,0,0,1992,Friendly,23,-23
Fiji,New Caledonia,2,2,106,0,9,0,0,0,1992,Friendly,106,-106
Ivory Coast,Egypt,2,2,0,21,0,45,0,0,1992,Friendly,-21,21
New Caledonia,Solomon Islands,1,0,0,136,0,2,0,0,1992,Friendly,-136,136
Vanuatu,Fiji,0,2,159,106,0,9,0,0,1992,Friendly,53,-53
Brazil,Mexico,5,0,3,25,56,43,0,0,1992,Friendly,-22,22
United States,Colombia,0,1,0,35,0,36,0,0,1992,Friendly,-35,35
Lesotho,Namibia,2,0,142,158,2,0,0,0,1992,Friendly,-16,16
Lesotho,Namibia,2,2,142,158,2,0,0,0,1992,Friendly,-16,16
Mexico,Colombia,0,0,25,35,43,36,0,0,1992,Friendly,-10,10
Uruguay,Costa Rica,2,1,16,37,48,35,0,0,1992,Friendly,-21,21
United States,Brazil,0,1,0,3,0,56,0,0,1992,Friendly,-3,3
Faroe Islands,Israel,1,1,94,64,12,23,0,0,1992,Friendly,30,-30
Ecuador,Costa Rica,1,1,65,37,23,35,0,0,1992,Friendly,28,-28
Indonesia,Malaysia,1,1,108,91,9,13,0,0,1992,Friendly,17,-17
Lesotho,Mauritius,1,0,142,112,2,7,0,0,1992,Friendly,30,-30
Iceland,Israel,0,2,46,64,29,23,0,0,1992,Friendly,-18,18
Lesotho,Mauritius,2,2,142,112,2,7,0,0,1992,Friendly,30,-30
Libya,Niger,0,0,137,81,2,15,0,0,1992,Friendly,56,-56
Australia,Malaysia,0,1,45,91,29,13,0,0,1992,Friendly,-46,46
El Salvador,Honduras,0,3,50,40,28,32,0,0,1992,Friendly,10,-10
Latvia,Lithuania,1,2,99,93,10,12,0,0,1992,FIFA World Cup qualification,6,-6
Libya,Mali,0,1,137,69,2,22,0,0,1992,Friendly,68,-68
Algeria,Guinea-Bissau,3,1,30,117,39,6,0,0,1992,African Cup of Nations qualification,-87,87
Indonesia,Australia,0,3,108,45,9,29,0,0,1992,Friendly,63,-63
Mali,Libya,2,1,69,137,22,2,0,0,1992,Friendly,-68,68
Tanzania,Ghana,2,2,80,39,15,34,0,0,1992,African Cup of Nations qualification,41,-41
Uganda,Ethiopia,3,1,92,85,12,14,0,0,1992,African Cup of Nations qualification,7,-7
Benin,Niger,1,2,127,81,4,15,0,0,1992,African Cup of Nations qualification,46,-46
Burundi,Congo,1,0,100,90,10,13,0,0,1992,African Cup of Nations qualification,10,-10
Chad,Guinea,0,3,155,63,0,24,0,0,1992,African Cup of Nations qualification,92,-92
DR Congo,Mozambique,2,0,0,107,0,9,0,0,1992,African Cup of Nations qualification,-107,107
Estonia,Switzerland,0,6,132,12,3,51,0,0,1992,FIFA World Cup qualification,120,-120
Gabon,Cameroon,0,0,55,22,27,43,0,0,1992,African Cup of Nations qualification,33,-33
Lesotho,Kenya,2,2,142,76,2,17,0,0,1992,African Cup of Nations qualification,66,-66
Panama,Costa Rica,1,0,120,37,5,35,0,0,1992,FIFA World Cup qualification,83,-83
Senegal,Togo,2,0,51,101,27,10,0,0,1992,African Cup of Nations qualification,-50,50
Zimbabwe,South Africa,4,1,54,124,27,5,0,0,1992,African Cup of Nations qualification,-70,70
Ethiopia,Iraq,0,13,85,82,14,15,0,0,1992,Jordan International Tournament,3,-3
Jordan,Sudan,3,0,110,111,8,7,0,0,1992,Jordan International Tournament,-1,1
Moldova,Pakistan,5,0,0,145,0,1,0,0,1992,Jordan International Tournament,-145,145
Bulgaria,Mexico,1,1,26,25,41,43,0,0,1992,Friendly,1,-1
Czechoslovakia,Austria,2,2,18,34,47,38,0,0,1992,Friendly,-16,16
Congo,Iraq,0,3,90,82,13,15,0,0,1992,Jordan International Tournament,8,-8
Jordan,Pakistan,2,0,110,145,8,1,0,0,1992,Jordan International Tournament,-35,35
Moldova,Sudan,2,1,0,111,0,7,0,0,1992,Jordan International Tournament,-111,111
China PR,North Korea,2,2,56,0,26,0,0,0,1992,Dynasty Cup,56,-56
Congo,Ethiopia,3,0,90,85,13,14,0,0,1992,Jordan International Tournament,5,-5
Japan,South Korea,0,0,66,0,22,0,0,0,1992,Dynasty Cup,66,-66
Jordan,Moldova,1,0,110,0,8,0,0,0,1992,Jordan International Tournament,110,-110
Pakistan,Sudan,0,4,145,111,1,7,0,0,1992,Jordan International Tournament,34,-34
Costa Rica,Panama,5,1,37,120,35,5,0,0,1992,FIFA World Cup qualification,-83,83
Uzbekistan,Kyrgyzstan,3,0,0,0,0,0,0,0,1992,Friendly,0,0
